IL21R	BCL6
IL2	TNFRSF17
IL6ST	KDM1B
INADL	AGBL4
INPP4A	HJURP
INPP5B	SF3A3
INPP5D	ABL1
INTS1	PRKAR1B
INTS2	TMEM49
INTS2	ZNF652
INTS4	GAB2
IQCJ	BCHE
ITCH	RALY
ITGA3	KHK
ITGAV	ANKHD1
ITK	SYK
ITPKC	PPFIA3
ITSN1	MATN1
ITSN1	ZNF490
JAZF1	PHF1
JAZF1	SUZ12
JOSD1	RPS19BP1
JPH3	OSGIN1
KANK1	DOCK8
KANK1	PDGFRB
KAT6A	ASXL2
KAT6A	CREBBP
KAT6A	EP300
KAT6A	NCOA2
KAT6A	NCOA3
KAT6B	CREBBP
KCND3	PPM1E
KCNIP1	KCTD14
KCNMB2	NRXN1
KCNQ5	RIMS1
KCNS3	PPM1G
KCTD2	ARHGEF12
KCTD3	TXNDC16
KDELR2	GOPC
KDELR2	ROS1
KIAA0100	ALKBH5
KIAA0182	NACAP1
KIAA0182	TPM4
KIAA0355	UQCRC1
KIAA0556	LSM1
KIAA1267	MBTD1
KIAA1467	C12ORF59	TTLL9
KIAA1549	BRAF
KIAA1618	ALK
KIAA1618	MYC
KIAA2013	CNTNAP2
KIF24	FAAH
KIF5B	ALK
KIF5B	PDGFRA
KIF5B	RET
KIFC3	CNGB1
KLC1	ALK
KLHDC2	SNTB1
KLHL29	PSMA8
KLK2	ETV1
KLK2	ETV4
KLK5	CDH23
KRAS	CDH13
KRT18	PLEC
KRT81	EMP2
KTN1	RET
LACTB2	XKR9
LAMP1	MCF2L
LCLAT1	ERBB4
LCP1	BCL6
LDHC	SERGEF
LDLRAD3	TCP11L1
LEO1	SLC12A1
LETM1	USP15
LETM2	KCNU1
LGMN	NAP1L1
LIFR	PLAG1
LIMA1	USP22
LMAN2	AP3S1
LMF1	UMOD
LMNA	FOSB
LPIN1	C3ORF67
LPP	BCL6
LPP	C12ORF9
LPPR1	MRPL50
LPP	ST6GAL1
LPP	TPRG1
LRCH3	MIR570
LRIG3	ROS1
LRMP	BCL6
LRMP	MYC
LRP1B	GULP1
LRRC59	NEUROD2
LSAMP	STAG1
LSM14A	SIPA1L3
LTBP4	CTSD
MACROD2	MPHOSPH8
MAF	IGFBP7
MAGI3	AKT3
MALAT1	IGF2
MALAT1	TFEB
MALT1	MAP4
MAN1A2	ALDOC
MAP2K3	SSR3
MAP3K5	TCF12
MAP4K3	PRKCE
MAPKAPK5	GAP43
MARCH6	IRX4
MARCH8	PRKG1
MBIP	C14ORF183
MBNL1	BCL6
MBOAT2	PRKCE
MBTPS1	SERF2
MBTPS2	YY2
MCF2L2	MIR548A3
MCPH1	AGPAT5
ME1	GABRR2
MEAF6	PHF1
MECOM	CDK6
MECP2	TMLHE
MED13	BCAS3
MED13L	CD4
MED13L	LAG3
MED1	IKZF3
MED1	STXBP4
MEF2C	MLL
MEF2D	DAZAP1
METTL13	DNM3
MGAT5	HNMT
MGLL	SLCO2A1
MGP	C17ORF76-AS1
MGP	REPS2
MIER2	NMRK2
MIER2	RSRC2
MINOS1	RCC2
MIPOL1	DGKB
MIR21	WDR53
MLL5	DRAM1
MLL5	LHFPL3
MLL	ABI1
MLL	ABI2
MLL	ACACA
MLL	ACTN4
MLL	AFF1
MLL	AFF3
MLL	AFF4
MLL	ARHGAP26
MLL	ARHGEF12
MLL	ARHGEF17
MLL	BCL9L
MLL	BTBD18
MLL	C2CD3
MLL	CASC5
MLL	CASP8AP2
MLL	CBL
MLL	CCNJL
MLL	CIP29
MLL	CREBBP
MLL	CT45A2
MLL	DAB2IP
MLL	DCP1A
MLL	DCPS
MLL	EEFSEC
MLL	ELL
MLL	EP300
MLL	EPS15
MLL	FER1L5
MLL	FLNA
MLL	FNBP1
MLL	FOXO3
MLL	FOXO4
MLL	FOXR1
MLL	FRYL
MLL	GAS7
MLL	GMPS
MLL	GPHN
MLL	HABP4
MLL	KIAA0284
MLL	KIAA1524
MLL	LAMC3
MLL	LASP1
MLL	LOC100128568
MLL	LOC100131626
MLL	LPP
MLL	MAML2
MLL	MAP3K5
MLL	MAPRE1
MLL	MLLT1
MLL	MLLT10
MLL	MLLT11
MLL	MLLT3
MLL	MLLT4
MLL	MLLT6
MLL	MYO1F
MLL	NCKIPSD
MLL	NEBL
MLL	NKD1
MLL	NRIP3
MLL	PDS5A
MLL	PICALM
MLL	SACM1L
MLL	SEPT11
MLL	SEPT2
MLL	SEPT5
MLL	SEPT6
MLL	SEPT9
MLL	SH3GL1
MLL	SLC25A24
MLL	SMAP1
MLL	SORBS2
MLL	SUGP2
MLLT10	CLP1
MLLT6	MRPL45
MLLT6	PLXDC1
MLL	TCF12
MLL	TET1
MLL	TIRAP
MLL	TNRC18
MLL	TOP3A
MLL	UBE4A
MLL	USP46
MLL	VAV1
MLL	ZFYVE19
MMP11	ZNF714
MMP14	H19
MN1	ETV6
MN1	FLI1
MNX1	ETV6
MPND	RAB8A
MPO	ZNF296
MPRIP	TP53
MRPL52	USP22
MRPS10	HPR
MRPS28	ADAMTS16
MSI2	HOXA9
MSMB	NCOA4
MSN	ALK
MTAP	PCDH7
MTF2	ARL3
MTHFD1	C1ORF61
MTHFD1	SYNE2
MTIF2	PLEKHH2
MYB	GATA1
MYB	MNX1
MYB	NFIB
MYB	PDCD1LG2
MYC	ARHGEF17
MYC	BCL7A
MYCN	GULP1
MYC	ZBTB5
MYC	ZCCHC7
MYH9	ALK
MYH9	EIF3D
MYLK	TXK
MYO15B	MAP3K3
MYO18A	FGFR1
MYO18A	MLL
MYO18A	PDGFRB
MYO6	SENP6
MYO9B	FCHO1
NAA50	MRPS35
NAB2	STAT6
NAP1L1	MLLT10
NAPA	BCL6
NAV2	TCF7L1
NAV2	WDFY1
NBAS	BAZ2B
NBAS	CCNT2
NCKIPSD	CELSR3
NCOA2	ZNF704
NCOA4	RET
NCOR2	ELN
NDE1	PDGFRB
NDRG1	ERG
NDST2	RUNX1
NDUFA12	USP44
NDUFAF2	MAST4
NDUFS6	ACTB
NEDD4	RDH10
NEGR1	ETS1
NEK4	SFMBT1
NF2	TCF20
NFIA	EHF
NFIB	AIG1
NFIX	MAST1
NFKB1	MLL
NIN	PDGFRB
NIPBL	HOXB9
NNT	AMIGO2
NONO	TFE3
NOP2	TCF3
NOTCH1	GABBR2
NOTCH1	NUP214
NOTCH1	SNHG7
NPAS3	OXA1L
NPEPPS	EPHA6
NPLOC4	PDE6G
NPM1	ALK
NPM1	MLF1
NPM1	RARA
NR6A1	TRHDE
NRBP2	VPS28
NRD1	KCNK9
NRIP1	MECOM
NRXN1	PLEKHG4B
NT5C2	ASAH2
NT5C2	MLL
NTAN1	SLC17A5
NTN1	HDLBP
NTNG1	BCAS1
NTNG2	LPIN1
NUMA1	RARA
NUMB	ALDH6A1
NUP107	LGR5
NUP107	PAPPA
NUP153	C3ORF67
NUP153	NTNG2
NUP214	ABL1
NUP214	XKR3
NUP98	ADD3
NUP98	CCDC28A
NUP98	DDX10
NUP98	HHEX
NUP98	HOXA11
NUP98	HOXA13
NUP98	HOXA9
NUP98	HOXC11
NUP98	HOXC13
NUP98	HOXD11
NUP98	HOXD13
NUP98	IQCG
NUP98	KDM5A
NUP98	LNP1
NUP98	MLL
NUP98	NSD1
NUP98	PHF23
NUP98	PRRX1
NUP98	PRRX2
NUP98	PSIP1
NUP98	RAP1GDS1
NUP98	RARG
NUP98	SETBP1
NUP98	TOP1
NUP98	TOP2B
NUP98	WHSC1L1
OAZ1	SF3A2
ODZ4	NRG1
OGT	ACTB
OLA1	ORMDL3
OMD	USP6
OR9Q1	OR4C46
OSCP1	SOX2-OT
OXR1	COX6C
OXR1	RSPO2
P2RY8	CRLF2
P4HA1	TRIM77P
PACSIN3	CTSD
PAFAH1B2	FOXR1
PAK2	VGLL3
PAN3	RFC3
PAPOLA	AK7
PAPOLA	HIP1R
PARD6G	C18ORF1
PARP1	MIXL1
PAX3	FOXO1
PAX3	FOXO4
PAX3	NCOA1
PAX3	NCOA2
PAX5	ASXL1
PAX5	AUTS2
PAX5	BRD1
PAX5	C20ORF112
PAX5	DACH1
PAX5	DACH2
PAX5	ELN
PAX5	ETV6
PAX5	FOXP1
PAX5	GOLGA6A
PAX5	HIPK1
PAX5	JAK2
PAX5	KIF3B
PAX5	LOC392027
PAX5	NCOR1
PAX5	PML
PAX5	POM121
PAX5	SLCO1B3
PAX5	TAOK1
PAX5	ZNF521
PAX7	FOXO1
PAX8	PPARG
PBX1	MLL
PCM1	JAK2
PCM1	RET
PCNX	MKKS
PCP4L1	SDHC
PCSK5	LRBA
PDCD1LG2	TPGS2
PDE3B	ATP11B
PDE4DIP	PDGFRB
PDE4DIP	TTC28
PDE9A	MUS81
PDE9A	REXO1L1
PDE9A	VWF
PDGFRB	DTD1
PDHX	CAT
PDRG1	ARF3	RUNX1T1
PERLD1	PPM1D
PEX5	LPL
PGCP	C8ORF47
PHACTR3	PTPRM
PHC3	FNDC3B
PHF20L1	SAMD12
PHGDH	WDPCP
PICALM	MLLT10
PIGK	SPATA6
PIGL	RABEP1
PIGU	ALG5
PIK3C2A	TEAD1
PIK3CB	BFSP2
PIKFYVE	TMEM119
PIM1	BCL6
PIP4K2B	RAD51C
